"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"",0.0551558752997602,0.0551558752997602,0.0347721822541966,0.0611510791366906,0.0251798561151079,0.0755395683453237,0.0479616306954436,0.0443645083932854,0.026378896882494,0.052757793764988,0.0815347721822542,0.0779376498800959,0.0155875299760192,0.0563549160671463,0.0479616306954436,0.0815347721822542,0.0467625899280576,0.00719424460431655,0.0407673860911271,0.065947242206235
"Q14644",0.0551558752997602,0.0551558752997602,0.0347721822541966,0.0611510791366906,0.0251798561151079,0.0755395683453237,0.0479616306954436,0.0443645083932854,0.026378896882494,0.052757793764988,0.0815347721822542,0.0779376498800959,0.0155875299760192,0.0563549160671463,0.0479616306954436,0.0815347721822542,0.0467625899280576,0.00719424460431655,0.0407673860911271,0.065947242206235
"Q28013",0.0575539568345324,0.0611510791366906,0.0323741007194245,0.0587529976019185,0.026378896882494,0.0731414868105516,0.0491606714628297,0.0455635491606715,0.0239808153477218,0.0503597122302158,0.0839328537170264,0.0719424460431655,0.0167865707434053,0.0551558752997602,0.0479616306954436,0.0863309352517986,0.0479616306954436,0.00719424460431655,0.0383693045563549,0.065947242206235
"Q60790",0.052757793764988,0.0611510791366906,0.0383693045563549,0.0599520383693046,0.026378896882494,0.0755395683453237,0.0479616306954436,0.0455635491606715,0.0251798561151079,0.0587529976019185,0.0863309352517986,0.0731414868105516,0.0155875299760192,0.0575539568345324,0.0431654676258993,0.0767386091127098,0.0515587529976019,0.00719424460431655,0.0383693045563549,0.0587529976019185
"Q9QYJ2",0.052757793764988,0.0623501199040767,0.0383693045563549,0.0587529976019185,0.026378896882494,0.0755395683453237,0.0479616306954436,0.0455635491606715,0.0251798561151079,0.0611510791366906,0.0839328537170264,0.0707434052757794,0.0155875299760192,0.0575539568345324,0.0431654676258993,0.0779376498800959,0.0503597122302158,0.00719424460431655,0.039568345323741,0.0599520383693046
"Q63713",0.0421313506815366,0.047087980173482,0.0483271375464684,0.0483271375464684,0.0272614622057001,0.0768277571251549,0.047087980173482,0.0408921933085502,0.0223048327137546,0.057001239157373,0.0941759603469641,0.0892193308550186,0.0136307311028501,0.0433705080545229,0.0433705080545229,0.0830235439900867,0.0532837670384139,0.00867410161090459,0.0421313506815366,0.0718711276332094
"P58069",0.0384138785625774,0.047087980173482,0.0483271375464684,0.047087980173482,0.0285006195786865,0.0780669144981413,0.047087980173482,0.0408921933085502,0.023543990086741,0.0582403965303594,0.0941759603469641,0.0879801734820322,0.0123915737298637,0.0446096654275093,0.0433705080545229,0.0817843866171004,0.057001239157373,0.00867410161090459,0.0408921933085502,0.0718711276332094
"Q15283",0.0384615384615385,0.0459057071960298,0.0508684863523573,0.0508684863523573,0.0285359801488834,0.0769230769230769,0.0459057071960298,0.0384615384615385,0.0235732009925558,0.0595533498759305,0.0955334987593052,0.0880893300248139,0.0136476426799007,0.0459057071960298,0.0421836228287841,0.0806451612903226,0.0583126550868486,0.00744416873449132,0.0384615384615385,0.0707196029776675
"O95294",0.078804347826087,0.0760869565217391,0.016304347826087,0.0638586956521739,0.0203804347826087,0.0733695652173913,0.047554347826087,0.0625,0.0217391304347826,0.0244565217391304,0.133152173913043,0.0434782608695652,0.0217391304347826,0.0394021739130435,0.0570652173913043,0.0652173913043478,0.0434782608695652,0.0190217391304348,0.0176630434782609,0.0747282608695652
"Q9Z268",0.0731034482758621,0.0731034482758621,0.016551724137931,0.0675862068965517,0.0206896551724138,0.0648275862068965,0.0510344827586207,0.056551724137931,0.0248275862068966,0.0248275862068966,0.137931034482759,0.0455172413793103,0.0124137931034483,0.0413793103448276,0.0551724137931034,0.0731034482758621,0.0524137931034483,0.0179310344827586,0.0179310344827586,0.0731034482758621
