Q91ZX7	A2ARV4	38.431	4348	2383	135	27	4234	221	4414	0.0	2595	97
Q91ZX7	A2ARV4	35.472	1060	588	30	854	1889	27	1014	2.09e-163	572	97
Q91ZX7	A2ARV4	34.529	753	405	23	2600	3333	22	705	3.29e-108	390	97
Q91ZX7	A2ARV4	29.412	884	535	26	18	850	1221	2066	1.80e-86	318	97
Q91ZX7	A2ARV4	33.835	399	212	14	3374	3758	27	387	1.89e-51	202	97
Q91ZX7	A2ARV4	40.493	284	152	12	3335	3611	28	301	8.08e-48	190	97
Q91ZX7	A2ARV4	33.582	402	211	15	801	1171	26	402	6.96e-46	184	97
Q91ZX7	A2ARV4	38.610	259	142	10	3334	3588	66	311	3.76e-39	162	97
Q91ZX7	A2ARV4	32.770	296	163	7	2500	2776	29	307	1.59e-35	149	97
Q91ZX7	A2ARV4	39.899	198	110	6	3333	3527	106	297	4.56e-32	138	97
Q91ZX7	A2ARV4	37.013	154	85	4	3299	3448	154	299	5.48e-20	98.6	97
Q91ZX7	A2ARV4	25.000	536	275	22	3964	4382	788	1313	4.96e-18	92.0	97
Q91ZX7	A2ARV4	28.000	225	123	8	3646	3851	26	230	1.41e-13	77.4	97
Q91ZX7	A2ARV4	32.530	166	93	6	25	189	2820	2967	3.51e-12	72.8	97
Q91ZX7	A2ARV4	38.318	107	60	4	24	127	3633	3736	2.18e-10	66.6	97
Q91ZX7	A2ARV4	30.688	189	104	9	21	189	1103	1284	8.51e-10	64.7	97
Q91ZX7	A2ARV4	29.444	180	95	8	26	181	26	197	5.84e-09	62.0	97
Q91ZX7	A2ARV4	42.708	96	48	6	24	117	2861	2951	8.51e-08	58.2	97
Q91ZX7	A2ARV4	25.743	101	71	2	4348	4448	4355	4451	0.15	37.4	97
Q8BNJ6	Q8NC67	97.524	525	13	0	1	525	1	525	0.0	1087	100
O60462	Q8NC67	30.380	237	141	6	24	244	41	269	3.27e-30	125	26
O60462	Q8NC67	33.333	114	71	2	154	267	51	159	5.30e-13	71.6	26
Q14108	Q8WTV0	35.377	424	259	7	7	421	9	426	8.57e-92	288	87
Q5QNP2	P07550	32.154	311	186	7	37	327	38	343	5.96e-45	157	85
Q5QD14	P07550	33.887	301	170	8	45	320	44	340	4.53e-39	142	82
P86148	W7G0Y1	99.293	2972	16	2	1	2971	1	2968	0.0	3705	100
Q9R0C9	Q99720	93.722	223	14	0	1	223	1	223	6.17e-138	384	100
P30874	P35372	39.815	324	189	3	49	368	76	397	5.48e-72	229	87
Q8RWZ1	K7UE65	29.900	301	185	6	478	764	215	503	7.80e-33	133	37
Q7PIR5	A1Z8N1	65.150	835	206	13	31	793	36	857	0.0	1001	96
A8DYE2	A8DYE2	100.000	2023	0	0	1	2023	1	2023	0.0	4133	100
Q14644	P46096	29.557	203	124	9	11	202	153	347	6.70e-07	51.6	33
Q14644	P46096	27.465	142	85	4	145	284	156	281	4.13e-04	42.7	33
D9N164	D9N164	100.000	295	0	0	1	295	1	295	0.0	600	100
Q5QNI1	Q39128	52.519	655	244	5	5	598	26	674	0.0	680	99
P38227	P38227	99.855	689	1	0	1	689	1	689	0.0	1404	100
Q9W0T5	Q9W0T5	100.000	956	0	0	1	956	1	956	0.0	1966	100
O81845	O65623	99.673	306	1	0	1	306	1	306	0.0	602	100
P39618	P77328	25.754	431	303	6	4	427	11	431	2.45e-33	129	96
Q55FL1	Q1LK28	28.025	157	97	5	357	507	131	277	8.68e-12	65.1	30
