"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"",0.0515574650912997,0.0504833512352309,0.037593984962406,0.0644468313641246,0.0257787325456498,0.0708915145005371,0.041890440386681,0.0762620837808808,0.0236305048335124,0.0580021482277121,0.0805585392051558,0.0429645542427497,0.0193340494092374,0.0397422126745435,0.0622986036519871,0.0859291084854995,0.0580021482277121,0.0225563909774436,0.041890440386681,0.046186895810956
"O60462",0.0515574650912997,0.0494092373791622,0.037593984962406,0.0644468313641246,0.0257787325456498,0.0708915145005371,0.041890440386681,0.0762620837808808,0.0236305048335124,0.0580021482277121,0.0805585392051558,0.0440386680988185,0.0193340494092374,0.0397422126745435,0.0622986036519871,0.0859291084854995,0.0580021482277121,0.0225563909774436,0.041890440386681,0.046186895810956
"O35375",0.0472610096670247,0.0472610096670247,0.037593984962406,0.0676691729323308,0.0257787325456498,0.0676691729323308,0.0397422126745435,0.0816326530612245,0.0247046186895811,0.0590762620837809,0.079484425349087,0.0472610096670247,0.0193340494092374,0.0408163265306122,0.0612244897959184,0.0859291084854995,0.0590762620837809,0.0225563909774436,0.0408163265306122,0.0451127819548872
"O35276",0.0486486486486487,0.0475675675675676,0.0389189189189189,0.065945945945946,0.0259459459459459,0.065945945945946,0.0410810810810811,0.0821621621621622,0.0237837837837838,0.0583783783783784,0.08,0.0475675675675676,0.0205405405405405,0.0410810810810811,0.0627027027027027,0.0843243243243243,0.0583783783783784,0.0227027027027027,0.04,0.0443243243243243
"P97333",0.0391254315304948,0.0402761795166858,0.049482163406214,0.0586881472957422,0.0241657077100115,0.0724971231300345,0.0310701956271577,0.093210586881473,0.0253164556962025,0.0678941311852704,0.0621403912543153,0.0598388952819333,0.0207134637514384,0.0379746835443038,0.0540851553509781,0.0874568469505178,0.0552359033371692,0.0218642117376295,0.0414269275028769,0.0575373993095512
"Q9QWJ9",0.0391705069124424,0.0426267281105991,0.0495391705069124,0.0587557603686636,0.0241935483870968,0.0714285714285714,0.0311059907834101,0.0933179723502304,0.0253456221198157,0.0702764976958525,0.0610599078341014,0.0599078341013825,0.0207373271889401,0.0391705069124424,0.0564516129032258,0.0817972350230415,0.054147465437788,0.021889400921659,0.0414746543778802,0.0576036866359447
"P79795",0.0345224395857307,0.0402761795166858,0.049482163406214,0.0609896432681243,0.0241657077100115,0.0736478711162255,0.0379746835443038,0.0874568469505178,0.0218642117376295,0.0678941311852704,0.0655926352128884,0.0552359033371692,0.0184119677790564,0.0345224395857307,0.0598388952819333,0.0897583429228999,0.0529344073647871,0.0207134637514384,0.0437284234752589,0.0609896432681243
"P28824",0.0525114155251142,0.0410958904109589,0.0525114155251142,0.0559360730593607,0.0228310502283105,0.0719178082191781,0.0319634703196347,0.0856164383561644,0.0228310502283105,0.067351598173516,0.0627853881278539,0.0559360730593607,0.0182648401826484,0.0388127853881279,0.045662100456621,0.0924657534246575,0.0627853881278539,0.0228310502283105,0.0353881278538813,0.0605022831050228
"O14786",0.0379746835443038,0.0391254315304948,0.0517836593785961,0.0609896432681243,0.0241657077100115,0.0724971231300345,0.0310701956271577,0.0920598388952819,0.0264672036823936,0.0690448791714614,0.0598388952819333,0.0609896432681243,0.0218642117376295,0.0414269275028769,0.0575373993095512,0.0840046029919448,0.0506329113924051,0.0207134637514384,0.0414269275028769,0.0563866513233602
"Q8QFX6",0.0488636363636364,0.0420454545454545,0.0534090909090909,0.0647727272727273,0.0215909090909091,0.0613636363636364,0.0318181818181818,0.0818181818181818,0.0125,0.0727272727272727,0.0727272727272727,0.0488636363636364,0.0227272727272727,0.0420454545454545,0.0602272727272727,0.0795454545454545,0.0659090909090909,0.0204545454545455,0.0352272727272727,0.0613636363636364
"O35474",0.0562913907284768,0.0596026490066225,0.0562913907284768,0.043046357615894,0.0231788079470199,0.0463576158940397,0.0662251655629139,0.076158940397351,0.0231788079470199,0.0662251655629139,0.0629139072847682,0.0695364238410596,0.0198675496688742,0.0264900662251656,0.043046357615894,0.0629139072847682,0.0596026490066225,0.0364238410596026,0.0529801324503311,0.0496688741721854
"O43854",0.0529801324503311,0.0596026490066225,0.0562913907284768,0.0463576158940397,0.0231788079470199,0.043046357615894,0.0662251655629139,0.076158940397351,0.0231788079470199,0.0695364238410596,0.0629139072847682,0.0695364238410596,0.0165562913907285,0.0231788079470199,0.043046357615894,0.0629139072847682,0.0662251655629139,0.0364238410596026,0.0562913907284768,0.0463576158940397
"Q08431",0.08,0.0433333333333333,0.0933333333333333,0.0333333333333333,0.0233333333333333,0.0466666666666667,0.04,0.0666666666666667,0.0366666666666667,0.04,0.0933333333333333,0.05,0.00666666666666667,0.0366666666666667,0.04,0.0833333333333333,0.0433333333333333,0.0366666666666667,0.0366666666666667,0.07
"Q95114",0.0658307210031348,0.0532915360501567,0.0595611285266458,0.0501567398119122,0.0282131661442006,0.0313479623824451,0.0595611285266458,0.0846394984326019,0.0188087774294671,0.0689655172413793,0.0689655172413793,0.0470219435736677,0.0156739811912226,0.0438871473354232,0.0376175548589342,0.0658307210031348,0.0752351097178683,0.0282131661442006,0.0407523510971787,0.0564263322884013
"Q593B6",0.0411392405063291,0.0443037974683544,0.0537974683544304,0.0411392405063291,0.0126582278481013,0.0506329113924051,0.0537974683544304,0.069620253164557,0.0411392405063291,0.0886075949367089,0.0727848101265823,0.069620253164557,0.0253164556962025,0.0379746835443038,0.0379746835443038,0.0664556962025316,0.0822784810126582,0.0316455696202532,0.0348101265822785,0.0443037974683544
