"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"",0.0682148040638607,0.0507982583454282,0.0478955007256894,0.0435413642960813,0.00870827285921625,0.0507982583454282,0.034833091436865,0.0609579100145138,0.0145137880986938,0.0682148040638607,0.108853410740203,0.0449927431059507,0.0275761973875181,0.0406386066763425,0.0449927431059507,0.0972423802612482,0.058055152394775,0.0174165457184325,0.0478955007256894,0.0638606676342525
"P38227",0.0682148040638607,0.0507982583454282,0.0478955007256894,0.0435413642960813,0.00870827285921625,0.0507982583454282,0.034833091436865,0.0609579100145138,0.0145137880986938,0.0682148040638607,0.108853410740203,0.0449927431059507,0.0275761973875181,0.0406386066763425,0.0449927431059507,0.0972423802612482,0.058055152394775,0.0174165457184325,0.0478955007256894,0.0638606676342525
"Q59XM0",0.0788177339901478,0.0476190476190476,0.0558292282430213,0.0377668308702791,0.00492610837438424,0.0344827586206897,0.0361247947454844,0.0623973727422003,0.0147783251231527,0.0935960591133005,0.113300492610837,0.0328407224958949,0.0213464696223317,0.0476190476190476,0.0459770114942529,0.09688013136289,0.0459770114942529,0.0164203612479475,0.0410509031198686,0.0722495894909688
"Q9Y7S4",0.101398601398601,0.0384615384615385,0.0244755244755245,0.013986013986014,0.0174825174825175,0.0454545454545455,0.00699300699300699,0.0734265734265734,0.013986013986014,0.0804195804195804,0.115384615384615,0.0384615384615385,0.0454545454545455,0.0909090909090909,0.0524475524475524,0.0629370629370629,0.0314685314685315,0.0244755244755245,0.0629370629370629,0.0594405594405594
"O59699",0.101398601398601,0.034965034965035,0.0244755244755245,0.013986013986014,0.020979020979021,0.041958041958042,0.013986013986014,0.0839160839160839,0.013986013986014,0.0944055944055944,0.111888111888112,0.0384615384615385,0.0454545454545455,0.0909090909090909,0.048951048951049,0.0559440559440559,0.034965034965035,0.0244755244755245,0.0594405594405594,0.0454545454545455
"O59698",0.0899653979238754,0.0346020761245675,0.027681660899654,0.0069204152249135,0.0173010380622837,0.0484429065743945,0.0242214532871972,0.0795847750865052,0.013840830449827,0.0934256055363322,0.1280276816609,0.0311418685121107,0.0346020761245675,0.0899653979238754,0.0519031141868512,0.055363321799308,0.0380622837370242,0.0242214532871972,0.0519031141868512,0.0588235294117647
"P94493",0.0906976744186047,0.0558139534883721,0.0255813953488372,0.0186046511627907,0.00930232558139535,0.0465116279069767,0.0186046511627907,0.0953488372093023,0.00930232558139535,0.0813953488372093,0.151162790697674,0.0372093023255814,0.0372093023255814,0.0697674418604651,0.0372093023255814,0.0534883720930233,0.0511627906976744,0.013953488372093,0.0186046511627907,0.0790697674418605
"Q6FTB1",0.0950819672131148,0.0295081967213115,0.0262295081967213,0.00327868852459016,0.019672131147541,0.0491803278688525,0.00983606557377049,0.0852459016393443,0.0229508196721311,0.0918032786885246,0.118032786885246,0.0426229508196721,0.0360655737704918,0.0786885245901639,0.0524590163934426,0.0426229508196721,0.0524590163934426,0.0262295081967213,0.0524590163934426,0.0655737704918033
"Q6FV98",0.0912052117263844,0.0325732899022801,0.0260586319218241,0.00977198697068404,0.0162866449511401,0.0488599348534202,0.00651465798045603,0.0977198697068404,0.0228013029315961,0.11400651465798,0.123778501628664,0.0325732899022801,0.0260586319218241,0.0749185667752443,0.0521172638436482,0.0390879478827362,0.0423452768729642,0.0260586319218241,0.0521172638436482,0.0651465798045603
"O74829",0.0669014084507042,0.0422535211267606,0.0246478873239437,0.00704225352112676,0.0211267605633803,0.0422535211267606,0.0176056338028169,0.0845070422535211,0.0105633802816901,0.0950704225352113,0.0985915492957746,0.0316901408450704,0.028169014084507,0.0915492957746479,0.0563380281690141,0.0704225352112676,0.0669014084507042,0.0246478873239437,0.0598591549295775,0.0598591549295775
"Q07824",0.0977198697068404,0.0325732899022801,0.0260586319218241,0.0130293159609121,0.0195439739413681,0.0423452768729642,0.0130293159609121,0.0879478827361563,0.0162866449511401,0.0879478827361563,0.117263843648208,0.0390879478827362,0.0423452768729642,0.0781758957654723,0.0456026058631922,0.0390879478827362,0.0390879478827362,0.0260586319218241,0.0553745928338762,0.0814332247557003
"O59700",0.0954063604240283,0.0459363957597173,0.0247349823321555,0.0141342756183746,0.0141342756183746,0.0424028268551237,0.0141342756183746,0.0777385159010601,0.0106007067137809,0.0918727915194346,0.141342756183746,0.0318021201413428,0.0353356890459364,0.0848056537102474,0.0459363957597173,0.0530035335689046,0.0424028268551237,0.0212014134275618,0.0600706713780919,0.0530035335689046
"S0DW25",0.124203821656051,0.0445859872611465,0.00955414012738853,0.0191082802547771,0.0159235668789809,0.0222929936305732,0.0286624203821656,0.0859872611464968,0.0127388535031847,0.0987261146496815,0.0987261146496815,0.0286624203821656,0.0382165605095541,0.0859872611464968,0.0636942675159236,0.0573248407643312,0.0477707006369427,0.0318471337579618,0.0414012738853503,0.0445859872611465
"A0A0D2YFZ8",0.124203821656051,0.0445859872611465,0.00955414012738853,0.0191082802547771,0.0191082802547771,0.0222929936305732,0.0222929936305732,0.0859872611464968,0.0127388535031847,0.0923566878980892,0.0987261146496815,0.035031847133758,0.0382165605095541,0.0859872611464968,0.0668789808917197,0.054140127388535,0.0445859872611465,0.0318471337579618,0.0414012738853503,0.0509554140127389
"A0A0B5EMG9",0.124203821656051,0.0445859872611465,0.00955414012738853,0.0191082802547771,0.0159235668789809,0.0222929936305732,0.0254777070063694,0.0859872611464968,0.0127388535031847,0.0923566878980892,0.0987261146496815,0.0318471337579618,0.0382165605095541,0.0859872611464968,0.0668789808917197,0.0573248407643312,0.0445859872611465,0.0318471337579618,0.0414012738853503,0.0509554140127389
"W7N2B4",0.121019108280255,0.0445859872611465,0.00955414012738853,0.0191082802547771,0.0159235668789809,0.0222929936305732,0.0254777070063694,0.0859872611464968,0.0127388535031847,0.0987261146496815,0.0987261146496815,0.0286624203821656,0.0382165605095541,0.0859872611464968,0.0668789808917197,0.0605095541401274,0.0477707006369427,0.0318471337579618,0.0414012738853503,0.0445859872611465
"Q0CJ61",0.0865051903114187,0.0588235294117647,0.027681660899654,0.0207612456747405,0.013840830449827,0.0242214532871972,0.027681660899654,0.069204152249135,0.0207612456747405,0.0761245674740484,0.13840830449827,0.013840830449827,0.027681660899654,0.0934256055363322,0.055363321799308,0.069204152249135,0.0380622837370242,0.0380622837370242,0.0484429065743945,0.0519031141868512
"Q10084",0.0851063829787234,0.0354609929078014,0.0354609929078014,0.0212765957446809,0.0212765957446809,0.0319148936170213,0.0141843971631206,0.0602836879432624,0.0212765957446809,0.106382978723404,0.0709219858156028,0.0390070921985816,0.024822695035461,0.0886524822695035,0.049645390070922,0.0567375886524823,0.0531914893617021,0.0354609929078014,0.0709219858156028,0.0780141843971631
"O34718",0.0804878048780488,0.0536585365853659,0.0292682926829268,0.0146341463414634,0.00731707317073171,0.0390243902439024,0.0219512195121951,0.1,0,0.0829268292682927,0.136585365853659,0.024390243902439,0.0390243902439024,0.0853658536585366,0.0341463414634146,0.0609756097560976,0.0682926829268293,0.0121951219512195,0.0146341463414634,0.0951219512195122
"P38776",0.08,0.0533333333333333,0.02,0.01,0.0266666666666667,0.03,0.0166666666666667,0.0766666666666667,0.01,0.0733333333333333,0.106666666666667,0.0533333333333333,0.0466666666666667,0.09,0.05,0.0433333333333333,0.0633333333333333,0.0133333333333333,0.0666666666666667,0.07
"C5H884",0.0855263157894737,0.0559210526315789,0.0263157894736842,0.00986842105263158,0.00657894736842105,0.0263157894736842,0.0296052631578947,0.0953947368421053,0.00986842105263158,0.0756578947368421,0.157894736842105,0.0263157894736842,0.0263157894736842,0.0657894736842105,0.0559210526315789,0.0559210526315789,0.0559210526315789,0.0197368421052632,0.0427631578947368,0.0723684210526316
"O59814",0.0774647887323944,0.0633802816901408,0.0316901408450704,0.0246478873239437,0.0352112676056338,0.0316901408450704,0.0140845070422535,0.0774647887323944,0.0246478873239437,0.0774647887323944,0.112676056338028,0.0176056338028169,0.0316901408450704,0.073943661971831,0.0492957746478873,0.0352112676056338,0.0492957746478873,0.0422535211267606,0.0669014084507042,0.0633802816901408
"Q1ERH8",0.100896860986547,0.0426008968609865,0.0224215246636771,0.015695067264574,0.00448430493273543,0.0269058295964126,0.015695067264574,0.0762331838565022,0.0112107623318386,0.0986547085201794,0.121076233183857,0.0179372197309417,0.0381165919282511,0.0739910313901345,0.0605381165919283,0.0739910313901345,0.0582959641255605,0.031390134529148,0.0381165919282511,0.0717488789237668
"B4HNS0",0.082135523613963,0.0492813141683778,0.0308008213552361,0.0308008213552361,0.0184804928131417,0.0472279260780287,0.0308008213552361,0.0924024640657084,0.0082135523613963,0.0718685831622177,0.119096509240246,0.0328542094455852,0.0328542094455852,0.0698151950718686,0.0472279260780287,0.0616016427104723,0.0574948665297741,0.0164271047227926,0.0205338809034908,0.080082135523614
"A0A161CLJ6",0.100694444444444,0.0520833333333333,0.0208333333333333,0.0138888888888889,0.00694444444444444,0.0243055555555556,0.0173611111111111,0.0659722222222222,0.0104166666666667,0.107638888888889,0.135416666666667,0.0208333333333333,0.0381944444444444,0.0625,0.0659722222222222,0.0659722222222222,0.0520833333333333,0.0381944444444444,0.0451388888888889,0.0555555555555556
"Q6FRT5",0.096085409252669,0.0533807829181495,0.0106761565836299,0.0142348754448399,0.0320284697508897,0.0462633451957295,0.0106761565836299,0.0604982206405694,0.0142348754448399,0.0818505338078292,0.131672597864769,0.0462633451957295,0.0177935943060498,0.128113879003559,0.0427046263345196,0.0391459074733096,0.0391459074733096,0.0284697508896797,0.0462633451957295,0.0604982206405694
"B4MYA4",0.0738396624472574,0.0485232067510548,0.029535864978903,0.0358649789029536,0.0147679324894515,0.040084388185654,0.029535864978903,0.0928270042194093,0.00210970464135021,0.0843881856540084,0.116033755274262,0.0316455696202532,0.0358649789029536,0.0632911392405063,0.0464135021097046,0.0675105485232067,0.0654008438818565,0.0189873417721519,0.0274261603375527,0.0759493670886076
"S0AU91",0.0754716981132075,0.0440251572327044,0.0283018867924528,0.00943396226415094,0.00628930817610063,0.0251572327044025,0.0314465408805031,0.10377358490566,0.00943396226415094,0.0754716981132075,0.116352201257862,0.0283018867924528,0.0440251572327044,0.0911949685534591,0.0817610062893082,0.0566037735849057,0.0471698113207547,0.0220125786163522,0.0377358490566038,0.0660377358490566
"Q291H8",0.0802469135802469,0.0493827160493827,0.0288065843621399,0.0308641975308642,0.01440329218107,0.0473251028806584,0.0349794238683128,0.088477366255144,0.0102880658436214,0.0761316872427984,0.111111111111111,0.0329218106995885,0.037037037037037,0.065843621399177,0.0493827160493827,0.0761316872427984,0.0576131687242798,0.0164609053497942,0.0205761316872428,0.0720164609053498
